id,name,price,addr,review,empty_review
1,品鱻100元熱炒,低,106台北市大安區樂利路68號,757,633
2,金霸王熱炒・快炒100 健康店,低,105台北市松山區健康路5-1號,168,181
3,鱻客棧海鮮熱炒,中,10491台北市中山區民生東路二段2號,390,523
4,大道18號精緻熱炒,中,106台北市大安區市民大道四段20號,261,320
5,宜蘭大溪港現撈海鮮熱炒,低,108台北市萬華區長沙街二段69號,233,281
6,勁喝呷熱炒,中,10491台北市中山區長春路119-9號,192,247
7,港記 港式熱炒泰國蝦,中,10491台北市中山區長安東路一段48號,80,82
8,2馬快炒,低,10491台北市中山區中山北路一段105巷13-3號,120,142
9,33區熱炒,低,10491台北市中山區長安東路一段63-1號,541,672
10,八芳快炒,低,100台北市中正區南陽街3號,92,35
11,豪香熱炒,低,106台北市大安區羅斯福路三段333巷7號,299,267
12,天金海鮮熱炒,低,103台北市大同區民樂街117號,137,91
13,土狗幫熱炒燒烤餐廳,,106台北市大安區新生南路一段147-2號,151,123
14,老朋友小酌熱炒,低,106台北市大安區安和路二段36號1F,433,350
15,南昌夜市紅燈籠熱炒,低,100台北市中正區南昌路二段14號,50,25
16,潮鮮平價海鮮熱炒,中,106台北市松山區市民大道四段157號,107,106
17,炒天下熱炒,中,106台北市大安區通化街171巷36號,132,107
18,九三熱炒,低,106台北市大安區杭州南路二段93巷2號,69,52
19,天一熱炒,低,10491台北市中山區錦州街210號,64,51
20,平價快炒,低,106台北市大安區忠孝東路四段216巷19弄10號,551,455
21,熱翻天生猛海鮮,低,10665台北市大安區復興南路二段154號,286,270
22,新欣餐飲熱炒店,,100台北市中正區羅斯福路一段9巷1號,6,1
23,大道創意料理快炒,中,104台北市中山區市民大道三段35號,200,176
24,老朋友小酌熱炒,低,106台北市大安區安和路二段36號1F,433,350
25,南昌夜市紅燈籠熱炒,低,100台北市中正區南昌路二段14號,50,25
26,潮鮮平價海鮮熱炒,中,106台北市松山區市民大道四段157號,107,106
27,炒天下熱炒,中,106台北市大安區通化街171巷36號,132,107
28,九三熱炒,低,106台北市大安區杭州南路二段93巷2號,69,52
29,天一熱炒,低,10491台北市中山區錦州街210號,64,51
30,平價快炒,低,106台北市大安區忠孝東路四段216巷19弄10號,551,455
31,熱翻天生猛海鮮,低,10665台北市大安區復興南路二段154號,286,270
32,新欣餐飲熱炒店,,100台北市中正區羅斯福路一段9巷1號,6,1
33,東山快炒(炒飯/炒麵/平價熱炒專售),低,108台北市萬華區和平西路三段151號,47,23
34,大道創意料理快炒,中,104台北市中山區市民大道三段35號,200,176
35,嚐鮮樓精緻熱炒,中,110台北市信義區信安街92號,92,111
36,好棒棒平價快炒,低,106台北市大安區復興南路一段271號,270,222
37,一郎嫂快炒,,103台北市大同區民樂街3號,57,26
38,一郎嫂快炒,,103台北市大同區民樂街3號,57,26
39,東山快炒(炒飯[斜槓]炒麵[斜槓]平價熱炒專售),低,108台北市萬華區和平西路三段151號,47,23
40,大三鱻快炒店,低,10491台北市中山區民生東路一段23巷6號,19,20
41,夫妻檔熱炒,,108台北市萬華區華西街138號攤位,5,3
42,滿漢熱炒,中,110台北市信義區永吉路522號,120,128
43,大三鱻快炒店,低,10491台北市中山區民生東路一段23巷6號,19,20
44,阿源師熱炒店,,108台北市萬華區環河南路一段17之2號,3,1
45,豪香熱炒,低,105台北市松山區民生東路三段113巷25弄10號,88,117
46,水中鮮100元快炒,低,105台北市松山區延吉街44號,120,118
47,尊王活海鮮,低,106台北市大安區和平東路三段228巷45號,333,380
48,Pocha 韓式熱炒,中,106台北市大安區忠孝東路四段216巷19弄9號,666,280
49,阿文熱炒,低,103台北市大同區延平北路二段50巷12號,57,40
50,珍美味海鮮熱炒100-清燉羊肉爐 砂鍋魚頭 多人聚餐廳(人氣必吃推薦),,106台北市大安區復興南路二段136號,59,48
51,尚介青鵝肉城熱炒,低,100台北市中正區中華路二段311巷14號,251,213
52,夫妻檔熱炒,,108台北市萬華區華西街138號攤位,5,3
53,滿漢熱炒,中,110台北市信義區永吉路522號,120,128
54,大三鱻快炒店,低,10491台北市中山區民生東路一段23巷6號,19,20
55,阿源師熱炒店,,108台北市萬華區環河南路一段17之2號,3,1
56,豪香熱炒,低,105台北市松山區民生東路三段113巷25弄10號,88,117
57,水中鮮100元快炒,低,105台北市松山區延吉街44號,120,118
58,尊王活海鮮,低,106台北市大安區和平東路三段228巷45號,333,380
59,Pocha 韓式熱炒,中,106台北市大安區忠孝東路四段216巷19弄9號,666,280
60,阿文熱炒,低,103台北市大同區延平北路二段50巷12號,57,40
61,珍美味海鮮熱炒100-清燉羊肉爐 砂鍋魚頭 多人聚餐廳(人氣必吃推薦),,106台北市大安區復興南路二段136號,59,48
62,萬青熱炒店,,108台北市萬華區萬青街137號,27,13
63,尚介青鵝肉城熱炒,低,100台北市中正區中華路二段311巷14號,251,213
64,滿漢牛肉麵食堂-推薦必吃平價 隱藏版美食 熱炒 合菜 聚餐宵夜,中,108台北市萬華區武昌街二段50巷22號,157,130
65,牛家莊 熱炒,,10491台北市中山區吉林路234號,28,21
66,新味珍復古熱炒,低,116台北市文山區興德路9號,176,156
67,省都快炒,,106台北市大安區大安路一段31巷1號,6,9
68,天天來海鮮熱炒,,108台北市萬華區萬大路11號,25,34
69,和園川味小吃,低,100台北市中正區紹興南街5之2號,266,173
70,常旺海鮮熱炒,低,115台北市南港區中坡北路4號,500,560
71,紅翻天生猛海鮮,低,10491台北市中山區吉林路239號,687,703
72,味道生猛活海鮮,,10491台北市中山區民權東路二段13號1樓,56,53
73,帝一好生猛快炒,中,103台北市大同區延平北路三段55號,65,32
74,台南鱔魚麵熱炒專家,,103台北市大同區延平北路三段59號,34,23
75,宜蘭烏石港熱炒,,10491台北市中山區農安街96號,6,8
76,中央市場生猛海鮮100,中,104台北市中山區長安東路一段52-1號,582,808
77,臨洋港生猛活海鮮長安店,低,10491台北市中山區長安東路一段99號,664,726
78,大溪港,中,10491台北市中山區長安東路一段54號,195,213
79,鮮定味生猛海鮮（長安店）,,104台北市中山區長安東路一段67號,597,793
80,薑母六三精緻鍋物,中,10491台北市中山區長安東路一段63號,31,47
81,回味熱炒小館(統一編號72989237),,10491台北市中山區民生東路一段80號,6,2
82,薑母六三精緻鍋物,中,10491台北市中山區長安東路一段63號,31,47
83,回味熱炒小館(統一編號72989237),,10491台北市中山區民生東路一段80號,6,2
84,鑫鱻100現撈活海鮮,低,10491台北市中山區吉林路254號,42,58
85,三隻小豬熱炒100,中,110台北市信義區松隆路22號,145,132
86,品麟生猛活海鮮-平價快熱炒料理 團體聚餐推薦(人氣必吃),中,105台北市松山區新東街60巷17號,129,161
87,無名熱炒,,105台北市松山區新東街48號,62,35
88,鑫鱻熱炒店,中,114台北市內湖區瑞光路288號,510,527
89,十三香海鮮熱炒店,中,106台北市大安區信義路四段345號,87,97
90,擱再來海鮮快炒店,低,100台北市中正區羅斯福路三段244巷12-1號,3,0
91,小漁村精緻海鮮平價快炒,低,100台北市中正區中華路二段311巷19號,140,126
92,打咔生猛活海鮮,中,100台北市中正區羅斯福路一段43號,738,652
93,萬興熱炒,,116台北市文山區興隆路一段228號,15,7
94,李家榕樹下快炒,中,106台北市大安區嘉興街382巷2號,173,136
95,海福岡日本料理海鮮熱炒,,106台北市大安區四維路170巷31號,132,64
96,建成大廚熱炒店,,115台北市南港區昆陽街4號,10,0
97,大烹小饌[斜槓]原胖子八德,中,105台北市松山區八德路四段279號1,201,200
98,869海鮮熱炒,低,110台北市信義區松隆路64號,72,93
99,台北ㄐ廠生猛海鮮,中,105台北市松山區市民大道五段143號,215,220
100,轉角熱炒店,中,110台北市信義區永吉路556號,144,100
101,漁聚蚌熱炒.海鮮.燒烤,中,105台北市松山區南京東路五段339號,47,44
102,黑松熱炒（黑白切、鵝肉、羊肉爐）,,"號 183, 成功路二段內湖區台北市114",77,62
103,萬里香熱炒,中,105台北市松山區饒河街30號,36,45
104,第一鮮生猛現撈熱炒,低,115台北市南港區忠孝東路六段323號,304,370
105,做伙來熱炒 海鮮熱炒 代客料理,低,114台北市內湖區成功路二段258號,56,71
106,鑫鱻生猛活海鮮,低,110台北市信義區永吉路179號,278,349
107,南港熱炒,低,115台北市南港區同德路23號,24,24
108,噗嚨哄海鮮熱炒,,"號, No. 21光復南路456巷大安區台北市106",167,40
109,阿珍熱炒,,106台北市大安區和平東路三段308巷32號號,15,21
110,南京快炒,,105台北市松山區南京東路五段23巷5弄2-2號,7,3
111,大排檔海鮮快炒,,115台北市南港區重陽路184號,17,29
112,海角47號旗艦店,低,115台北市南港區研究院路一段23號,251,343
113,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,中,110台北市信義區松山路515巷2弄19號,72,87
114,紅燈籠快炒,,110台北市信義區吳興街156巷5號,39,13
115,第一鮮生猛現撈現炒,低,110台北市信義區林口街68號,330,392
116,好運道大排檔 港台熱炒,,110台北市信義區和平東路三段195號,19,17
117,家常熱炒,,115台北市南港區研究院路三段68巷2號號,23,14
118,0589青閣讚平價熱炒,,110台北市信義區林口街70號,1,1
119,楊師傅熱炒,,110台北市信義區永吉路278巷63號,104,106
120,58快炒,低,115台北市南港區舊莊街一段58號,16,18
121,小林海產,中,106台北市大安區光復南路574-1號,753,637
122,原士林牛肉嫂快炒店,低,111台北市士林區後港街188號,16,3
123,益源熱炒,,111台北市士林區承德路四段40巷54號號,27,16
124,大西洋熱炒,,112台北市北投區自強街141巷5號,6,0
125,阿薩姆海鮮快炒店,中,111台北市士林區德行西路87號,127,128
126,賢記熱炒,低,10462台北市中山區大直街44號,97,67
127,熱炒,,114台北市內湖區內湖路一段737巷38-44號,2,5
128,玖柱海鮮熱炒,,"1, No. 172號德行東路士林區台北市111",74,75
129,海味100熱炒,低,114台北市內湖區文德路235號1樓,82,57
130,海旺角生猛熱炒料理活海鮮,中,111台北市士林區文林路676號,279,309
131,一極鮮熱炒,中,111台北市士林區福國路95之3號,645,664
132,北港羊肉快炒店,,111台北市士林區美崙街36號,36,24
133,大發生猛海鮮餐廳,中,112台北市北投區裕民二路60號,507,618
134,上園海鮮熱炒,,111台北市士林區社正路71號,78,126
135,聞香園熱炒100,低,114台北市內湖區成功路四段41巷4號,41,48
136,夯 鮮熱炒,,111台北市士林區重慶北路四段261號,1,17
137,珍味快炒,低,112台北市北投區承德路七段280巷40號,139,122
138,阿弟熱炒店,低,"號 No. 280, 延平北路五段士林區台北市111",39,45
139,八仙快炒,,112台北市北投區尊賢街200-206號,6,2
140,小吳現炒牛肉,低,111台北市士林區德行東路216號,65,55
141,海陸現撈海鮮快炒,,"號, No. 77延平北路五段士林區台北市111",6,19
142,士林夜市深夜流氓熱炒,低,111台北市士林區大東路16號,274,188
